College                         			 					,Rating               			,Location									,Affiliate 					,Average Fee 								,Exam Accepted								,Review									
"Medical Trust Institute of Medical Sciences - [MTIMS], Kochi","4.6/10","Kochi, Kerala","RCI, KNC, MCI","₹65 K / yr Bachelor of Physio...",,""
"Oxford Medical College Hospital and Research Centre, Bangalore","4.6/10","Bangalore, Karnataka","PCI, AICTE, BCI","-- MBBS",,
"Vallabhbhai Patel Chest Institute - [VPCI], New Delhi","4.6/10","New Delhi, Delhi NCR","","₹10 K / yr MD - avg fee",,
"Symbiosis Institute of Health Sciences - [SIHS], Pune","4.1/10","Pune, Maharashtra","AICTE","-- B.Sc (Medicine)",,""
"Loyola College, Chennai","9.6/10","Chennai, Tamil Nadu","NAAC-A","₹5.95 K / yr M.Sc (Medicine) - ...",,""
"Indian Institute of Science - [IISc], Bangalore","9.5/10","Bangalore, Karnataka","UGC","₹25.2 K / yr M.Phil/Ph.D in Med...",,""
"St. Xavier's College, Mumbai","9.4/10","Mumbai, Maharashtra","UGC, NAAC-A","₹50 K / yr Diploma in Medical...",,""
"The West Bengal National University of Juridical Sciences - [NUJS], Kolkata","9.4/10","Kolkata, West Bengal","BCI, UGC","₹44 K / yr PG Diploma in Medi...",,""
"National Institute of Pharmaceutical Education and Research - [NIPER], Mohali","9.2/10","Mohali, Punjab","PCI","₹48.3 K / yr MS - avg fee",,""
"Jawaharlal Nehru University - [JNU], New Delhi","9.0/10","New Delhi, Delhi NCR","NAAC-A","-- M.Phil/Ph.D in Med...",,""
"JSS College of Pharmacy Ooty, The Nilgiris","8.8/10","The Nilgiris, Tamil Nadu","PCI, AICTE","-- PG Diploma in Medi...",,""
"Jagadguru Sri Shivarathreeswara University - [JSS University], Mysore","8.8/10","Mysore, Karnataka","UGC, NAAC-A","₹64.3 K / yr B.Sc (Medicine) - ...",,"3.9 / 5 15 reviews"
"Madras Christian College - [MCC], Chennai","8.7/10","Chennai, Tamil Nadu","UGC, NAAC-A","₹16 K / yr PG Diploma in Medi...",,"4.1 / 5 16 reviews"
"Shailesh J. Mehta School of Management, IIT Bombay - [SJMSOM], Mumbai","8.6/10","Mumbai, Maharashtra","AICTE","₹24 K / yr M.Phil/Ph.D in Med...",,""
